model,term,estimate,stars,std.error,statistic,p.value,conf.low,conf.high
halfand10,(Intercept),-0.005248814682481033,,0.14596894225802143,-0.03595843472786825,0.9713162505816166,-0.2913788159199307,0.2808811865549687
halfand10,Urban,0.3000475164270443,**,0.1477244285031857,2.031129986199769,0.04226934928443705,0.01047639083991414,0.5896186420141745
halfand10,OHU2010,-2.7899361937288344e-4,***,1.3754026941138157e-5,-20.284504354024225,1.3175352819121143e-89,-3.059544213408207e-4,-2.520328174049462e-4
halfand10,TractLOWI,-0.07538971955871863,*,0.040566005696957876,-1.8584457173798665,0.0631363782993297,-0.15490767098534208,0.0041282318679048
halfand10,TractAsian,-0.6516673355915261,***,0.031107840308939243,-20.94865246573421,2.5848142213139376e-95,-0.7126452823273294,-0.5906893888557229
halfand10,TractOMultir,-0.08533107515032332,,0.10819254410769287,-0.7886964471912808,0.43030895126891855,-0.29741134579238726,0.12674919549174066
halfand10,TractHispanic,-0.3300388024428769,***,0.061909368153359234,-5.33099936709609,9.989477897360545e-8,-0.45139425869478356,-0.2086833461909703
halfand10,TractHUNV,-0.004147592496970816,,0.055454267551351376,-0.07479302640017906,0.9403809512189572,-0.11284968622758487,0.10455450123364324
halfand10,POP2010,1.0003506030524458e-4,***,8.623512196027011e-6,11.600268896393782,6.604657278003711e-31,8.313115241120228e-5,1.1693896819928687e-4
halfand10,NUMGQTRS,-1.0313539543988308e-4,***,3.352946226103532e-5,-3.0759633016762393,0.002104147560812019,-1.6886023340769297e-4,-3.7410557472073165e-5
halfand10,PCTGQTRS,-4.985152209504406e-4,,0.0021136311104136577,-0.23585724987406928,0.8135484812986519,-0.004641679259017847,0.0036446488171169656
halfand10,HUNVFlag1,-0.0043620185974964495,,0.023427058456118276,-0.18619574479088102,0.8522952010383436,-0.0502840083121994,0.0415599711172065
halfand10,LowIncomeTracts1,0.0807085351951364,***,0.023074630228122676,3.4977173803969017,4.7138529694351063e-4,0.03547737935065664,0.12593969103961616
halfand10,PovertyRate,0.004961922924627,***,0.0016969677606557315,2.9239936312694854,0.0034638084594499634,0.0016355071820367013,0.008288338667217298
halfand10,TractKids,-0.24815170579892445,,0.34002707107563757,-0.7297998509763483,0.4655303700386152,-0.914676685446039,0.4183732738481901
halfand10,TractSeniors,0.06049533808326483,,0.2851131039122615,0.21218013922601464,0.8319710122374968,-0.49838665087453,0.6193773270410596
halfand10,TractWhite,0.13689168989659967,,0.0962564337076768,1.4221562613916172,0.15501343231136253,-0.05179127971213948,0.3255746595053388
halfand10,Urban:POP2010,3.0109489039660475e-5,***,6.971365355726092e-6,4.319023247709912,1.582992275169841e-5,1.6444138404080288e-5,4.3774839675240666e-5
halfand10,Urban:NUMGQTRS,7.624925450786863e-5,**,3.522376874811596e-5,2.1647102856348113,0.03043448197753133,7.2032174565710795e-6,1.4529529155916617e-4
halfand10,Urban:PCTGQTRS,0.002567735059737771,,0.0022559301238914997,1.1382156887503256,0.2550588778663405,-0.0018543651429182044,0.006989835262393746
halfand10,Urban:HUNVFlag1,0.4950514580701698,***,0.025528269598586853,19.392284156133087,3.3282099088994666e-82,0.44501065008156354,0.545092266058776
halfand10,Urban:LowIncomeTracts1,-0.13316145556964773,***,0.025306417119727354,-5.261963988803579,1.4560459913769025e-7,-0.1827673857748801,-0.08355552536441535
halfand10,Urban:PovertyRate,-0.005771799106773867,***,0.0016934787502659162,-3.4082500922243977,6.565002198742721e-4,-0.009091375651027092,-0.002452222562520641
halfand10,Urban:TractKids,0.35547467311301795,,0.3468766704516532,1.0247869153326732,0.3054896034417967,-0.32447697009428755,1.0354263163203234
halfand10,Urban:TractSeniors,0.02999919140200224,,0.2928098200070865,0.10245281869739276,0.9183994041322175,-0.543969989061529,0.6039683718655335
halfand10,Urban:TractWhite,0.28311142964581676,***,0.09730287104653877,2.909589682203807,0.0036273572590707986,0.09237722151721336,0.4738456377744201
halfand10,Urban:TractHUNV,-0.32559616572767036,***,0.057055014356968324,-5.706705526188412,1.1860564537710767e-8,-0.43743606177696126,-0.2137562696783795
1and10,(Intercept),-0.36204731758839565,*,0.1968922209205598,-1.8388096588867828,0.06597410456386389,-0.7479977159687616,0.023903080791970288
1and10,TractLOWI,0.05331800282250676,,0.15802872743978083,0.3373943692789931,0.7358270166494199,-0.256451728179379,0.3630877338243925
1and10,TractKids,0.160190183891056,,0.34810756044409025,0.46017438887767054,0.6454014910503373,-0.5221742640513597,0.8425546318334717
1and10,TractHispanic,-0.2132958795520107,***,0.02981724267249741,-7.1534407756874465,9.082877978492539e-13,-0.27174398194147764,-0.15484777716254378
1and10,Urban,0.06707921029637559,,0.1979721186369903,0.33883160294594183,0.7347440145876516,-0.3209880160212127,0.45514643661396387
1and10,Year2019,0.0042012339838824655,,0.008897619001853797,0.47217508223347715,0.6368125732056974,-0.013239981226888712,0.02164244919465364
1and10,POP2010,-9.93996671142616e-6,,7.116221864274451e-6,-1.3968039362751952,0.16250487702927113,-2.3889266742878038e-5,4.009333320025715e-6
1and10,NUMGQTRS,3.418050598409884e-5,,3.0514438041121296e-5,1.1201420762865482,0.26268128889742415,-2.56342467941506e-5,9.399525876234828e-5
1and10,HUNVFlag1,-0.0163296065649546,,0.02473927006398096,-0.6600682446459738,0.509225896482993,-0.06482380858162697,0.032164595451717765
1and10,LowIncomeTracts1,0.07003136882168084,***,0.02585335158482143,2.708792652740484,0.006764846252727967,0.019353331380804147,0.12070940626255755
1and10,PovertyRate,0.001732663555001475,,0.00246237149918339,0.7036564367221144,0.48166384821611097,-0.003094105408378382,0.006559432518381332
1and10,TractSeniors,-0.1954821922023986,,0.2974030572862828,-0.6572971844543808,0.5110056291925782,-0.7784550892651582,0.38749070486036097
1and10,TractWhite,0.42282589931166387,**,0.18465074566311857,2.289868355490305,0.022050575290675365,0.06087138167398648,0.7847804169493413
1and10,TractAIAN,0.3220083415539633,,0.20889776966286747,1.5414637603534058,0.12323696779896308,-0.08747547169777042,0.731492154805697
1and10,TractSNAP,0.1987286195939671,,0.22663863401206222,0.876852353352034,0.38058881432459324,-0.24553104021569822,0.6429882794036323
1and10,Urban:POP2010,2.8738421530485984e-5,***,7.392305319782114e-6,3.8876129011582874,1.0191773932008032e-4,1.4247939530842475e-5,4.322890353012949e-5
1and10,Urban:NUMGQTRS,1.326762457877496e-4,***,3.2749916597372324e-5,4.051193394440426,5.13589419428308e-5,6.847948220520356e-5,1.9687300937029566e-4
1and10,Urban:HUNVFlag1,0.25373103696186294,***,0.026900898081812633,9.432065657815617,4.959308724454049e-21,0.20099958681658675,0.30646248710713914
1and10,Urban:LowIncomeTracts1,-0.09173546767870562,***,0.028424905374938723,-3.2272919282815162,0.0012538800414666148,-0.14745429446672847,-0.03601664089068275
1and10,Urban:PovertyRate,-0.0035878971740185093,,0.0025411399179581518,-1.4119242898287334,0.15800471740298905,-0.008569068898786164,0.0013932745507491458
1and10,TractLOWI:Urban,-0.3905251575095807,**,0.16443188813285758,-2.3749964921283664,0.017568678242148486,-0.7128464378252587,-0.06820387719390275
1and10,TractKids:Urban,1.2637712334119382,***,0.3549573890134125,3.5603463191019387,3.721601193570188e-4,0.5679796726419731,1.9595627941819034
1and10,Urban:TractSeniors,0.3434213393409717,,0.30626255822381826,1.12132982017997,0.2621755884088639,-0.25691805346400737,0.9437607321459507
1and10,Urban:TractWhite,-0.0836225316362445,,0.18505259575537306,-0.4518852129304244,0.6513619027061622,-0.4463647604514873,0.2791196971789983
1and10,Urban:TractAIAN,3.896325334459257,***,0.6127921419712693,6.358314781787682,2.1328110847898514e-10,2.6951231223434577,5.097527546575057
1and10,Urban:TractSNAP,-0.1896547563381354,,0.23210811817517016,-0.8170966092405456,0.4138935290432554,-0.6446357619776002,0.2653262493013294
1and10,TractHispanic:Year2019,-0.032380615956235065,,0.0346952164281115,-0.9332876197307405,0.3506949944040272,-0.10039057866433705,0.03562934675186692
1and20,(Intercept),0.13223900831982663,,0.18864362860884132,0.7009990705492021,0.4833206087723021,-0.2375423946979057,0.5020204113375589
1and20,TractLOWI,0.0026243813263247327,,0.15138854658650555,0.017335402086214785,0.9861694037983801,-0.29412918289635614,0.29937794554900565
1and20,TractKids,0.028325603657352417,,0.3336233254231578,0.08490294742259125,0.9323403213821146,-0.6256466628018754,0.6822978701165802
1and20,TractHispanic,-0.22743978336060963,***,0.023577732882985283,-9.646380527312703,6.403518356352926e-22,-0.2736571256039882,-0.18122244111723107
1and20,Urban,-0.42583374901431287,**,0.18972453475143566,-2.2444843497558797,0.02482396997875177,-0.7977339566420212,-0.0539335413866045
1and20,POP2010,-1.711503548197075e-7,,6.819557431623234e-6,-0.025096988556186882,0.9799781245471432,-1.3538924997527435e-5,1.319662428788802e-5
1and20,NUMGQTRS,-2.769821395306396e-6,,2.9244753404167903e-5,-0.0947117370773127,0.9245457744151834,-6.009572221925807e-5,5.4556079428645285e-5
1and20,HUNVFlag1,-1.1537604253812568e-5,,0.023703022814725205,-4.867566615446607e-4,0.9996116345177543,-0.04647447460789249,0.04645139939938486
1and20,LowIncomeTracts1,-1.653427672832375e-4,,0.024766969676672003,-0.006675938535951525,0.9946735501830228,-0.048713840604586674,0.0483831550700202
1and20,PovertyRate,6.4052339474123955e-6,,0.0023597938955992152,0.00271431922904688,0.9978343457281114,-0.004619289807981296,0.0046321002758761215
1and20,TractSeniors,0.021026188028998312,,0.28502894371568166,0.07376860663656698,0.9411960462162937,-0.5376908144221898,0.5797431904801865
1and20,TractWhite,-0.14144526415157005,,0.17695610783543408,-0.7993240011987127,0.4241223682399031,-0.48831665498781035,0.20542612668467025
1and20,TractAIAN,-0.14172132992173422,,0.20019760809929044,-0.7079072086188253,0.479020092220797,-0.5341509759674643,0.2507083161239958
1and20,TractSNAP,-0.0015985111471589258,,0.21717503069464167,-0.007360473909206017,0.994127397682587,-0.42730749555820124,0.4241104732638834
1and20,Urban:POP2010,1.8931122442457752e-5,***,7.084063150473262e-6,2.6723537100587578,0.007544861833170424,5.044860657916108e-6,3.28173842269994e-5
1and20,Urban:NUMGQTRS,1.6964157094549197e-4,***,3.1386713645657435e-5,5.404884782162054,6.64059983531021e-8,1.0811697510518988e-4,2.3116616678579407e-4
1and20,Urban:HUNVFlag1,0.2375495036146264,***,0.02577577400313153,9.215998851703395,3.7344682387033985e-20,0.1870235359737598,0.288075471255493
1and20,Urban:LowIncomeTracts1,-0.021951721683385075,,0.027228799932097852,-0.8061949751045747,0.42015043256136275,-0.07532592740468226,0.031422484037912105
1and20,Urban:PovertyRate,-0.0018376334028255962,,0.002435072737261495,-0.7546523661105153,0.450476131112028,-0.006610890893020967,0.0029356240873697746
1and20,TractLOWI:Urban,-0.338717141067719,**,0.1575407474170625,-2.1500287806241176,0.031577874552114395,-0.6475303198745077,-0.029903962260930228
1and20,TractKids:Urban,1.3957446042855675,***,0.34018900517607037,4.102850424466767,4.114677677951716e-5,0.7289022171193669,2.0625869914517683
1and20,Urban:TractSeniors,0.12889953673674356,,0.2935200544885652,0.4391506977652362,0.6605622433570622,-0.4464618383759059,0.7042609118493931
1and20,Urban:TractWhite,0.48084232184460485,***,0.1773411426211087,2.7113974497837185,0.006711964560245968,0.13321618140824626,0.8284684622809635
1and20,Urban:TractAIAN,4.3426235990285855,***,0.5872816302114754,7.394448209566578,1.5389813315393461e-13,3.1914274161114258,5.493819781945746
1and20,Urban:TractSNAP,0.008324135998096276,,0.22239709230792662,0.03742915841080711,0.9701436032059014,-0.42762119344217353,0.4442694654383661
Tracts_half,(Intercept),0.2227560665618756,,0.1380677877291302,1.613381877305748,0.1066944871660313,-0.047886000597565176,0.49339813372131636
Tracts_half,Urban,0.07101100377571484,,0.13976684071963433,0.5080676032318678,0.6114176257184732,-0.2029615666178735,0.3449835741693032
Tracts_half,OHU2010,-2.763782844816045e-4,***,1.3121219986237866e-5,-21.063459401754,2.5639118873887548e-96,-3.020986509706805e-4,-2.5065791799252845e-4
Tracts_half,PovertyRate,-6.139051192741228e-4,,5.172097900164269e-4,-1.1869557211100448,0.23527450309148748,-0.0016277457045941748,3.999354660459292e-4
Tracts_half,TractLOWI,-0.08320891236214174,**,0.038614198083349975,-2.1548786843257153,0.03119615883153825,-0.15890090803230217,-0.007516916691981304
Tracts_half,TractAsian,-0.6452373917725811,***,0.029685904907814385,-21.735479978672696,2.72428467310003e-102,-0.7034280443635501,-0.5870467391816121
Tracts_half,TractNHOPI,-5.505664411949655,*,3.3299992282397604,-1.6533530594419845,0.09829177832658087,-12.03316723931627,1.021838415416961
Tracts_half,TractOMultir,-0.06082232989486249,,0.10377859231839923,-0.586077807918764,0.5578370288040573,-0.264250321419221,0.142605661629496
Tracts_half,TractHispanic,-0.33336156054104954,***,0.05913031664221338,-5.63774353785654,1.7717204946385e-8,-0.4492694880240108,-0.2174536330580883
Tracts_half,TractHUNV,-0.021609476555730357,,0.052819173709563814,-0.40912182145359066,0.6824594041627796,-0.12514622899834152,0.0819272758868808
Tracts_half,POP2010,1.0699989162116209e-4,***,8.16426121306976e-6,13.105887823612415,6.575639109045497e-39,9.099621279152982e-5,1.2300357045079435e-4
Tracts_half,NUMGQTRS,-1.210507335614091e-4,***,3.188942083679826e-5,-3.795952713626101,1.479840418740269e-4,-1.835607434467018e-4,-5.854072367611638e-5
Tracts_half,PCTGQTRS,4.949714866556203e-5,,0.002014376936941834,0.02457193971884284,0.9803969129084409,-0.0038991077157927447,0.003998102013123869
Tracts_half,HUNVFlag1,0.018688353362010822,,0.021927434079080824,0.8522818171342654,0.3940789899134184,-0.02429405538279676,0.061670762106818405
Tracts_half,LowIncomeTracts1,0.0177358044147892,,0.019334699736500247,0.9173043624415519,0.3590062518390831,-0.020164296620069955,0.05563590544964836
Tracts_half,TractKids,-0.46332782671664113,,0.3231210318115836,-1.4339141717856796,0.15162937767641668,-1.0967133935495321,0.1700577401162499
Tracts_half,TractSeniors,0.15909368832945323,,0.2715418261428111,0.5858901760710028,0.5579631143855062,-0.3731857256908415,0.691373102349748
Tracts_half,TractWhite,-0.0975497957005786,,0.09160057017280986,-1.0649474726690586,0.2869265263238115,-0.2771062880026723,0.08200669660151509
Tracts_half,Urban:POP2010,2.201726001381463e-5,***,6.5484052988474186e-6,3.362232331234885,7.761755133584224e-4,9.181000551507203e-6,3.485351947612206e-5
Tracts_half,Urban:NUMGQTRS,9.531975563605537e-5,***,3.346367591037184e-5,2.848454422381961,0.004402567594217782,2.9723872830251597e-5,1.6091563844185914e-4
Tracts_half,Urban:PCTGQTRS,0.002044018238704634,,0.002150114272813691,0.9506556300515985,0.3418031886006122,-0.002170660514350672,0.00625869699175994
Tracts_half,Urban:HUNVFlag1,0.4719140760727982,***,0.02388341606306698,19.75906942401595,3.2813159955691495e-85,0.4250975289226503,0.5187306232229462
Tracts_half,Urban:LowIncomeTracts1,-0.07167284852386785,***,0.02088189148049517,-3.4322967625233667,6.010207513197071e-4,-0.11260577262900251,-0.030739924418733196
Tracts_half,Urban:TractKids,0.5791815716331189,*,0.32912729852259087,1.7597494168152832,0.07848219874600695,-0.06597754836024605,1.2243406916264838
Tracts_half,Urban:TractSeniors,-0.0683727474787965,,0.27888982419219416,-0.2451604237509867,0.8063374671096394,-0.6150557918771639,0.47831029691957083
Tracts_half,Urban:TractWhite,0.5174668111792226,***,0.09258469791012137,5.589118103312978,2.3447242653297873e-8,0.3359812203556296,0.6989524020028155
Tracts_half,Urban:TractHUNV,-0.30953064036027944,***,0.05430309191734623,-5.700055548059962,1.2331013104225553e-8,-0.4159761863589782,-0.20308509436158068
Tracts1,(Intercept),0.13223900831982663,,0.18864362860884132,0.7009990705492021,0.4833206087723021,-0.2375423946979057,0.5020204113375589
Tracts1,TractLOWI,0.0026243813263247327,,0.15138854658650555,0.017335402086214785,0.9861694037983801,-0.29412918289635614,0.29937794554900565
Tracts1,TractKids,0.028325603657352417,,0.3336233254231578,0.08490294742259125,0.9323403213821146,-0.6256466628018754,0.6822978701165802
Tracts1,TractHispanic,-0.22743978336060963,***,0.023577732882985283,-9.646380527312703,6.403518356352926e-22,-0.2736571256039882,-0.18122244111723107
Tracts1,Urban,-0.42583374901431287,**,0.18972453475143566,-2.2444843497558797,0.02482396997875177,-0.7977339566420212,-0.0539335413866045
Tracts1,POP2010,-1.711503548197075e-7,,6.819557431623234e-6,-0.025096988556186882,0.9799781245471432,-1.3538924997527435e-5,1.319662428788802e-5
Tracts1,NUMGQTRS,-2.769821395306396e-6,,2.9244753404167903e-5,-0.0947117370773127,0.9245457744151834,-6.009572221925807e-5,5.4556079428645285e-5
Tracts1,HUNVFlag1,-1.1537604253812568e-5,,0.023703022814725205,-4.867566615446607e-4,0.9996116345177543,-0.04647447460789249,0.04645139939938486
Tracts1,LowIncomeTracts1,-1.653427672832375e-4,,0.024766969676672003,-0.006675938535951525,0.9946735501830228,-0.048713840604586674,0.0483831550700202
Tracts1,PovertyRate,6.4052339474123955e-6,,0.0023597938955992152,0.00271431922904688,0.9978343457281114,-0.004619289807981296,0.0046321002758761215
Tracts1,TractSeniors,0.021026188028998312,,0.28502894371568166,0.07376860663656698,0.9411960462162937,-0.5376908144221898,0.5797431904801865
Tracts1,TractWhite,-0.14144526415157005,,0.17695610783543408,-0.7993240011987127,0.4241223682399031,-0.48831665498781035,0.20542612668467025
Tracts1,TractAIAN,-0.14172132992173422,,0.20019760809929044,-0.7079072086188253,0.479020092220797,-0.5341509759674643,0.2507083161239958
Tracts1,TractSNAP,-0.0015985111471589258,,0.21717503069464167,-0.007360473909206017,0.994127397682587,-0.42730749555820124,0.4241104732638834
Tracts1,Urban:POP2010,1.8931122442457752e-5,***,7.084063150473262e-6,2.6723537100587578,0.007544861833170424,5.044860657916108e-6,3.28173842269994e-5
Tracts1,Urban:NUMGQTRS,1.6964157094549197e-4,***,3.1386713645657435e-5,5.404884782162054,6.64059983531021e-8,1.0811697510518988e-4,2.3116616678579407e-4
Tracts1,Urban:HUNVFlag1,0.2375495036146264,***,0.02577577400313153,9.215998851703395,3.7344682387033985e-20,0.1870235359737598,0.288075471255493
