term,beta_1se_halfand10,beta_min_halfand10,beta_1se_1and10,beta_min_1and10,beta_1se_1and20,beta_min_1and20,beta_1se_Tracts_half,beta_min_Tracts_half,beta_1se_Tracts1,beta_min_Tracts1
CensusTract36055014001,0,0,0,0,0.008744497887223717,0.008744497887223717,0,0,0.008744497887223717,0.008744497887223717
CensusTract36055014504,0,0,0,0,0.007463413586095274,0.007463413586095274,0,0,0.007463413586095274,0.007463413586095274
CensusTract36055014901,0,0,0,0,0.02037096276424943,0.02037096276424943,0,0,0.02037096276424943,0.02037096276424943
CensusTract36067010200,0,0,0,0,0.01525344613365066,0.01525344613365066,0,0,0.01525344613365066,0.01525344613365066
CensusTract36067011600,0,0,0,0,0.005884853015966434,0.005884853015966434,0,0,0.005884853015966434,0.005884853015966434
CensusTract36067015100,0,0,0,0,0.016444582727048285,0.016444582727048285,0,0,0.016444582727048285,0.016444582727048285
CensusTract36071013800,0,0,0,0,0.011652987778030484,0.011652987778030484,0,0,0.011652987778030484,0.011652987778030484
CensusTract36071014301,0,0,0,0,0.004636686538997644,0.004636686538997644,0,0,0.004636686538997644,0.004636686538997644
CensusTract36071015003,0,0,0,0,-0.007749328259636713,-0.007749328259636713,0,0,-0.007749328259636713,-0.007749328259636713
CensusTract36083040300,0,0,0,0,-0.004162872038839109,-0.004162872038839109,0,0,-0.004162872038839109,-0.004162872038839109
CensusTract36083052501,0,0,0,0,0.008412465317378322,0.008412465317378322,0,0,0.008412465317378322,0.008412465317378322
CensusTract36087010802,0,0,0,0,0.007147048762086561,0.007147048762086561,0,0,0.007147048762086561,0.007147048762086561
CensusTract36087010901,0,0,0,0,0.009593476254187374,0.009593476254187374,0,0,0.009593476254187374,0.009593476254187374
CensusTract36087011302,0,0,0,0,0.01713156598818158,0.01713156598818158,0,0,0.01713156598818158,0.01713156598818158
CensusTract36087011504,0,0,0,0,-0.021220435641408734,-0.021220435641408734,0,0,-0.021220435641408734,-0.021220435641408734
CensusTract36087013100,0,0,0,0,-0.0040568436834620865,-0.0040568436834620865,0,0,-0.0040568436834620865,-0.0040568436834620865
CensusTract36089490300,0,0,0,0,0.020744906895865,0.020744906895865,0,0,0.020744906895865,0.020744906895865
CensusTract36089492700,0,0,0,0,0.002304577892873955,0.002304577892873955,0,0,0.002304577892873955,0.002304577892873955
CensusTract36091062200,0,0,0,0,-0.009873848972818046,-0.009873848972818046,0,0,-0.009873848972818046,-0.009873848972818046
CensusTract36091062406,0,0,0,0,0.01036340728402364,0.01036340728402364,0,0,0.01036340728402364,0.01036340728402364
CensusTract36093032200,0,0,0,0,-0.005609758385029257,-0.005609758385029257,0,0,-0.005609758385029257,-0.005609758385029257
CensusTract36099950500,0,0,0,0,0.005004656044289016,0.005004656044289016,0,0,0.005004656044289016,0.005004656044289016
CensusTract36103110401,0,0,0,0,0.008171888305691235,0.008171888305691235,0,0,0.008171888305691235,0.008171888305691235
CensusTract36103110402,0,0,0,0,0.006464585842976734,0.006464585842976734,0,0,0.006464585842976734,0.006464585842976734
CensusTract36103110501,0,0,0,0,0.0014076420938228086,0.0014076420938228086,0,0,0.0014076420938228086,0.0014076420938228086
CensusTract36103111100,0,0,0,0,-0.029477752120077475,-0.029477752120077475,0,0,-0.029477752120077475,-0.029477752120077475
CensusTract36103111703,0,0,0,0,0.015466495697704634,0.015466495697704634,0,0,0.015466495697704634,0.015466495697704634
CensusTract36103111802,0,0,0,0,0.017097639769501533,0.017097639769501533,0,0,0.017097639769501533,0.017097639769501533
CensusTract36103112212,0,0,0,0,0.005426178662210616,0.005426178662210616,0,0,0.005426178662210616,0.005426178662210616
CensusTract36103122705,0,0,0,0,-0.026567646715893484,-0.026567646715893484,0,0,-0.026567646715893484,-0.026567646715893484
CensusTract36103123802,0,0,0,0,-0.017307428583656498,-0.017307428583656498,0,0,-0.017307428583656498,-0.017307428583656498
CensusTract36103134907,0,0,0,0,1.4330886642930628e-5,1.4330886642930628e-5,0,0,1.4330886642930628e-5,1.4330886642930628e-5
CensusTract36103135208,0,0,0,0,0.017253286405581353,0.017253286405581353,0,0,0.017253286405581353,0.017253286405581353
CensusTract36103145807,0,0,0,0,0.0037535366887504005,0.0037535366887504005,0,0,0.0037535366887504005,0.0037535366887504005
CensusTract36103145808,0,0,0,0,4.242823220208908e-4,4.242823220208908e-4,0,0,4.242823220208908e-4,4.242823220208908e-4
CensusTract36103146608,0,0,0,0,-0.005390908725106847,-0.005390908725106847,0,0,-0.005390908725106847,-0.005390908725106847
CensusTract36103147100,0,0,0,0,0.014788657843541947,0.014788657843541947,0,0,0.014788657843541947,0.014788657843541947
CensusTract36103158009,0,0,0,0,0.011108078544481996,0.011108078544481996,0,0,0.011108078544481996,0.011108078544481996
CensusTract36103158104,0,0,0,0,0.005774165087346738,0.005774165087346738,0,0,0.005774165087346738,0.005774165087346738
CensusTract36103158116,0,0,0,0,-0.0033107398096926845,-0.0033107398096926845,0,0,-0.0033107398096926845,-0.0033107398096926845
CensusTract36103158207,0,0,0,0,5.809599133202215e-4,5.809599133202215e-4,0,0,5.809599133202215e-4,5.809599133202215e-4
CensusTract36103158319,0,0,0,0,0.01468872784552894,0.01468872784552894,0,0,0.01468872784552894,0.01468872784552894
CensusTract36103158403,0,0,0,0,-0.007461025058814209,-0.007461025058814209,0,0,-0.007461025058814209,-0.007461025058814209
CensusTract36103158409,0,0,0,0,0.012197250426798206,0.012197250426798206,0,0,0.012197250426798206,0.012197250426798206
CensusTract36103158502,0,0,0,0,-0.011568694221548582,-0.011568694221548582,0,0,-0.011568694221548582,-0.011568694221548582
CensusTract36103159201,0,0,0,0,-0.013891236787316642,-0.013891236787316642,0,0,-0.013891236787316642,-0.013891236787316642
CensusTract36103159300,0,0,0,0,-0.009693542823224849,-0.009693542823224849,0,0,-0.009693542823224849,-0.009693542823224849
CensusTract36103169800,0,0,0,0,-0.03195133923767293,-0.03195133923767293,0,0,-0.03195133923767293,-0.03195133923767293
CensusTract36103170001,0,0,0,0,0.002433876204298823,0.002433876204298823,0,0,0.002433876204298823,0.002433876204298823
CensusTract36103170201,0,0,0,0,0.004730049789052694,0.004730049789052694,0,0,0.004730049789052694,0.004730049789052694
CensusTract36103190800,0,0,0,0,-0.002817495553364742,-0.002817495553364742,0,0,-0.002817495553364742,-0.002817495553364742
CensusTract36109000300,0,0,0,0,-0.017522905052875102,-0.017522905052875102,0,0,-0.017522905052875102,-0.017522905052875102
CensusTract36113070601,0,0,0,0,0.022102668256795955,0.022102668256795955,0,0,0.022102668256795955,0.022102668256795955
CensusTract36119008302,0,0,0,0,0.004545213292693176,0.004545213292693176,0,0,0.004545213292693176,0.004545213292693176
CensusTract36119011400,0,0,0,0,0.033371160895892205,0.033371160895892205,0,0,0.033371160895892205,0.033371160895892205
CensusTract36119014804,0,0,0,0,0.007962478407498037,0.007962478407498037,0,0,0.007962478407498037,0.007962478407498037
TractAsian,-0.012690175016071207,-0.042854428376715575,0,0,0,0,-0.03183117526243751,-0.041997262405255524,0,0
TractHUNV,-0.01542099569020529,-0.008034742354053723,0,0,0,0,-0.03707560242294334,-0.027881440045787256,0,0
Urban1:CensusTract36001013000,0,0,0,0,1.7101277416451747e-4,1.7101277416451747e-4,0,0,1.7101277416451747e-4,1.7101277416451747e-4
Urban1:CensusTract36001014302,0,0,0,0,2.635453919902345e-4,2.635453919902345e-4,0,0,2.635453919902345e-4,2.635453919902345e-4
Urban1:CensusTract36009940300,0,0,0,0,2.701633857953072e-4,2.701633857953072e-4,0,0,2.701633857953072e-4,2.701633857953072e-4
Urban1:CensusTract36025970800,0,0,0,0,1.697179945029255e-4,1.697179945029255e-4,0,0,1.697179945029255e-4,1.697179945029255e-4
Urban1:CensusTract36029011200,0,0,0,0,1.7061685115077685e-4,1.7061685115077685e-4,0,0,1.7061685115077685e-4,1.7061685115077685e-4
Urban1:CensusTract36029013502,0,0,0,0,6.900831129501378e-4,6.900831129501378e-4,0,0,6.900831129501378e-4,6.900831129501378e-4
Urban1:CensusTract36029014206,0,0,0,0,2.9916818594843107e-4,2.9916818594843107e-4,0,0,2.9916818594843107e-4,2.9916818594843107e-4
Urban1:CensusTract36047109800,0,0,0,0,0,0,0,8.227986374160347e-5,0,0
Urban1:CensusTract36053030900,0,0,0,0,7.48155435420902e-5,7.48155435420902e-5,0,0,7.48155435420902e-5,7.48155435420902e-5
